Date,CPI
2010-01-01,101.640000000000
2010-02-01,100.860000000000
2010-03-01,100.630000000000
2010-04-01,100.290000000000
2010-05-01,100.500000000000
2010-06-01,100.390000000000
2010-07-01,100.360000000000
2010-08-01,100.550000000000
2010-09-01,100.840000000000
2010-10-01,100.500000000000
2010-11-01,100.810000000000
2010-12-01,101.080000000000
2011-01-01,102.370000000000
2011-02-01,100.780000000000
2011-03-01,100.620000000000
2011-04-01,100.430000000000
2011-05-01,100.480000000000
2011-06-01,100.230000000000
2011-07-01,99.990000000000
2011-08-01,99.760000000000
2011-09-01,99.960000000000
2011-10-01,100.480000000000
2011-11-01,100.420000000000
2011-12-01,100.440000000000
2012-01-01,100.500000000000
2012-02-01,100.370000000000
2012-03-01,100.580000000000
2012-04-01,100.310000000000
2012-05-01,100.520000000000
2012-06-01,100.890000000000
2012-07-01,101.230000000000
2012-08-01,100.100000000000
2012-09-01,100.550000000000
2012-10-01,100.460000000000
2012-11-01,100.340000000000
2012-12-01,100.540000000000
2013-01-01,100.970000000000
2013-02-01,100.560000000000
2013-03-01,100.340000000000
2013-04-01,100.510000000000
2013-05-01,100.660000000000
2013-06-01,100.420000000000
2013-07-01,100.820000000000
2013-08-01,100.140000000000
2013-09-01,100.210000000000
2013-10-01,100.570000000000
2013-11-01,100.560000000000
2013-12-01,100.510000000000
2014-01-01,100.590000000000
2014-02-01,100.700000000000
2014-03-01,101.020000000000
2014-04-01,100.900000000000
2014-05-01,100.900000000000
2014-06-01,100.620000000000
2014-07-01,100.490000000000
2014-08-01,100.240000000000
2014-09-01,100.650000000000
2014-10-01,100.820000000000
2014-11-01,101.280000000000
2014-12-01,102.620000000000
2015-01-01,103.850000000000
2015-02-01,102.220000000000
2015-03-01,101.210000000000
2015-04-01,100.460000000000
2015-05-01,100.350000000000
2015-06-01,100.190000000000
2015-07-01,100.800000000000
2015-08-01,100.350000000000
2015-09-01,100.570000000000
2015-10-01,100.740000000000
2015-11-01,100.750000000000
2015-12-01,100.770000000000
2016-01-01,100.960000000000
2016-02-01,100.630000000000
2016-03-01,100.460000000000
2016-04-01,100.440000000000
2016-05-01,100.410000000000
2016-06-01,100.360000000000
2016-07-01,100.540000000000
2016-08-01,100.010000000000
2016-09-01,100.170000000000
2016-10-01,100.430000000000
2016-11-01,100.440000000000
2016-12-01,100.400000000000
2017-01-01,100.620000000000
2017-02-01,100.220000000000
2017-03-01,100.130000000000
2017-04-01,100.330000000000
2017-05-01,100.370000000000
2017-06-01,100.610000000000
2017-07-01,100.070000000000
2017-08-01,99.460000000000
2017-09-01,99.850000000000
2017-10-01,100.200000000000
2017-11-01,100.220000000000
2017-12-01,100.420000000000
2018-01-01,100.310000000000
2018-02-01,100.210000000000
2018-03-01,100.290000000000
2018-04-01,100.380000000000
2018-05-01,100.380000000000
2018-06-01,100.490000000000
2018-07-01,100.270000000000
2018-08-01,100.010000000000
2018-09-01,100.160000000000
2018-10-01,100.350000000000
2018-11-01,100.500000000000
2018-12-01,100.840000000000
2019-01-01,101.010000000000
2019-02-01,100.440000000000
2019-03-01,100.320000000000
2019-04-01,100.290000000000
2019-05-01,100.340000000000
2019-06-01,100.040000000000
2019-07-01,100.200000000000
2019-08-01,99.760000000000
2019-09-01,99.840000000000
2019-10-01,100.130000000000
2019-11-01,100.280000000000
2019-12-01,100.360000000000
2020-01-01,100.400000000000
2020-02-01,100.330000000000
2020-03-01,100.550000000000
2020-04-01,100.830000000000
2020-05-01,100.270000000000
2020-06-01,100.220000000000
2020-07-01,100.350000000000
2020-08-01,99.960000000000
2020-09-01,99.930000000000
2020-10-01,100.430000000000
2020-11-01,100.710000000000
2020-12-01,100.830000000000
